photo_id,title,description,latitude,longitude,views,tags_raw,tags_content,url
52185730855,IMG_7527,"|| Photo info: Taken 2022-06-12 with iPhone 13 Pro, iPhone 13 Pro back triple camera 1.57mm f/1.8, ¹⁄₈₅₀ sec at f/1.8, focal length 1.57 mm, ISO ISO 32. Copyright 2022 .",48.850025,2.284919,100,"'France', 'Paris'",,https://live.staticflickr.com/65535/52185730855_d7158d178e_w.jpg
52255299002,La Louvre - Monday,,48.860846,2.33644,100,,,https://live.staticflickr.com/65535/52255299002_bbc4fa2072_w.jpg
52258550378,Sacre Coeur,,48.886603,2.343049,100,,,https://live.staticflickr.com/65535/52258550378_9281b1c202_w.jpg
52253751478,Sunday - catacombs,,48.83401,2.332395,100,,,https://live.staticflickr.com/65535/52253751478_71d5e4b3a4_w.jpg
52112251153,Marché Charras - dimanche 22 mai 2022,"Marché Charras, à Courbevoie Dimanche 22 mai 2022  © TOUS DROITS RESERVES  Réf. du fichier : PJ-20220522-02_187_Marché-Charras-Courbevoie",48.896295,2.253872,100,"'PHILIPPE JUVIN', 'JUVIN', 'COURBEVOIE', 'MARCHE', 'COMMERCANTS', 'COMMERCES', 'HAUTS DE SEINE', 'FRANCE', 'ELECTIONS', 'ELECTIONS LEGISLATIVES', 'CANDIDAT', 'LEGISLATIVES 2022'","philippejuvin, juvin, courbevoie, marche, commercants, commerces, hautsdeseine, elections, electionslegislatives, candidat, legislatives2022",https://live.staticflickr.com/65535/52112251153_667a09c012_w.jpg
52312841844,Châtelet-Les-Halles Metro/RER station,Riding the long moving walkway (travelator) that connects two of the three parts of one of the world's largest subway stations.,48.860563,2.346469,100,"'paris', 'france', 'ratp', 'subway', 'metro', 'RER A', 'RER B', 'RER D', 'ligne 1', 'ligne 4', 'ligne 7', 'ligne 11', 'ligne 14'","ratp, subway, metro, rera, rerb, rerd, ligne1, ligne4, ligne7, ligne11, ligne14",https://live.staticflickr.com/65535/52312841844_b7ef6b2a3d_w.jpg
52235970943,La Seine,,48.857854,2.339208,100,"'paris', 'france', 'canon', 'r6', 'ile de la cite', 'island', 'river seine', 'la seine', 'seine', 'river'","r6, iledelacite, island, riverseine, laseine, seine, river",https://live.staticflickr.com/65535/52235970943_12845bb0df_w.jpg
52253752053,Sunday - catacombs,,48.83401,2.332395,100,,,https://live.staticflickr.com/65535/52253752053_0b8f5aa0a7_w.jpg
52016555690,_D814537,,48.866973,2.364678,100,"'Ukraine', 'War', 'Conflict', 'Europe', 'Paris', 'France', 'protest', 'demonstration', 'manifestation', 'people'",people,https://live.staticflickr.com/65535/52016555690_be4f0a423d_w.jpg
52350145483,"The Louvre, Paris, France",,48.860597,2.335155,99,"'Louvre', 'Paris', 'France', 'Europe', 'Gallery', 'museum', 'art', 'sculpture', 'statues', 'Nikon', 'D500'","louvre, gallery, museum, art, sculpture, statues",https://live.staticflickr.com/65535/52350145483_db0885f35a_w.jpg
52331703286,Fashion,,48.87043,2.306374,99,,,https://live.staticflickr.com/65535/52331703286_4ce0cf5085_w.jpg
52134096686,"Givenchy Christies,",,48.870502,2.311813,99,,,https://live.staticflickr.com/65535/52134096686_abced0698a_w.jpg
52185255798,ketchup mustard mayo,"Grenelle || Photo info: Taken 2022-06-12 with Canon EOS 5D Mark IV, EF24-70mm f/2.8L II USM, ¹⁄₅₀₀ sec at f/6.3, focal length 24 mm, ISO ISO 160. Copyright 2022 .",48.849835,2.284207,99,"'France', 'Paris', 'architecture'",architecture,https://live.staticflickr.com/65535/52185255798_12d9c90355_w.jpg
52256760315,La Louvre - Monday,,48.860846,2.33644,99,,,https://live.staticflickr.com/65535/52256760315_8712fd99ff_w.jpg
52008708572,Flowers,,48.852572,2.336166,99,,,https://live.staticflickr.com/65535/52008708572_56cdab7080_w.jpg
52194157762,L'épouse de SE M. Michal Fleichmann,,48.863486,2.344701,99,"'Musique', 'music', 'musician', 'Musik', 'musique Tchèque', 'Europe', 'European Union', 'EU', 'Europe Centrale', 'Église Saint-Eustache', 'concert', 'République Tchèque', 'Czech Republic'","musique, music, musician, musik, musiquetchèque, europeanunion, eu, europecentrale, églisesainteustache, concert, républiquetchèque, czechrepublic",https://live.staticflickr.com/65535/52194157762_4662bc5c60_w.jpg
52150666983,_D815325,,48.857275,2.351524,99,"'Ukraine', 'Ukrainian', 'Ukraina', 'Paris', 'France', 'Europe', 'European Union', 'manifestation', 'demonstration', 'protest', 'people', 'politique', 'Politics'","europeanunion, people",https://live.staticflickr.com/65535/52150666983_377655f7f1_w.jpg
52221585651,PAR22 196,Panthéon,48.847568,2.340205,98,"'Paris', 'France'",,https://live.staticflickr.com/65535/52221585651_8d4e46e60d_w.jpg
52255298912,La Louvre - Monday,,48.860846,2.33644,98,,,https://live.staticflickr.com/65535/52255298912_265b1f6bf0_w.jpg
52150657041,_D815320,,48.857275,2.351524,98,"'Ukraine', 'Ukrainian', 'Ukraina', 'Paris', 'France', 'Europe', 'European Union', 'manifestation', 'demonstration', 'protest', 'people', 'politique', 'Politics'","europeanunion, people",https://live.staticflickr.com/65535/52150657041_890d882309_w.jpg
52262918301,Louvre Plaza Long Exposure,,48.861527,2.334083,98,"'paris', 'france', 'iphone', 'iPhone 12', 'Long exposure', 'louvre', 'louvre museum'","iphone, iphone12, longexposure, louvre, louvremuseum",https://live.staticflickr.com/65535/52262918301_e7aa27d015_w.jpg
52224252772,Musée du Louvre,"Ancien palais des rois, le Louvre est intimement lié à l’histoire de France depuis huit siècles. Conçu dès sa création en 1793 comme un musée universel, ses collections, qui figurent parmi les plus belles au monde, couvrent plusieurs millénaires et un territoire qui s’étend de l’Amérique aux frontières de l’Asie. Le Louvre abrite huit départements. Les Antiquités égyptiennes, les Antiquités orientales et les Antiquités grecques, étrusques et romaines, côtoient des collections plus modernes comme celles des départements des Peintures, des Sculptures, des Objets d'art, des Arts graphiques et des Arts de l’Islam. Au total, 35 000 œuvres sont exposées, dont des chefs-d’œuvre mondialement connus comme la Victoire de Samothrace, le Scribe accroupi, les Taureaux ailés de Khorsabad, La Joconde, les Esclaves de Michel-Ange ou encore les appartements Napoléon-III.  Le Louvre de Paris est l'un des plus grands musées d'art au monde, alors ne perdez pas votre temps à faire la queue. Rendez-vous directement à l'intérieur, avec votre entrée d'accès prioritaire, pour voir de ses chefs-d'œuvre les plus appréciés, notamment le regard inévitable et le sourire ironique de la Joconde de Da Vinci. Lors de cette visite guidée, écoutez des histoires fascinantes et des informations sur ces chefs-d'œuvre incontournables. Après avoir découvert eurs œuvres d'art de grands maîtres, vous êtes libre d'explorer le Louvre de manière indépendante.",48.86008,2.335002,98,"'peintures', 'galeries', 'Pyramide', 'fresque', 'wbayer.com', 'sculptures', 'musée du Louvre', 'da Vinci', 'tableaux', 'la Joconde'","peintures, galeries, pyramide, fresque, wbayercom, sculptures, muséedulouvre, davinci, tableaux, lajoconde",https://live.staticflickr.com/65535/52224252772_2fea776d9e_w.jpg
52242324941,20220716_174256,,48.866069,2.31488,98,"'Jardin', 'Paris', 'Petit Palais'","jardin, petitpalais",https://live.staticflickr.com/65535/52242324941_3e4934d1a7_w.jpg
52256548439,La Louvre - Monday,,48.860846,2.33644,98,,,https://live.staticflickr.com/65535/52256548439_2313fa8794_w.jpg
52234420984,"Paris, défilé du 14 juillet 2022","Paris, défilé du 14 juillet 2022",48.869146,2.309682,97,"'Paris', 'France', 'fête', 'défilé', 'Labbez', '14 juillet', '2022', 'militaire', 'street', 'rue', 'armée', 'champs-Elysées', 'french', 'français', 'Bastille day', 'uniforme', 'porte-drapeau', 'flag', 'drapeau', 'garde', 'Ile de France'","fête, défilé, labbez, 14juillet, militaire, street, rue, armée, champselysées, french, français, bastilleday, uniforme, portedrapeau, flag, drapeau, garde, iledefrance",https://live.staticflickr.com/65535/52234420984_dfce935b03_w.jpg
52260906683,Musée d'Orsay on Wednesday,,48.859992,2.326387,97,,,https://live.staticflickr.com/65535/52260906683_4f1065cac9_w.jpg
52236593349,Sacre Coeur,,48.886293,2.343006,97,"'paris', 'france', 'canon', 'r6', 'sacre coeur', 'church'","r6, sacrecoeur, church",https://live.staticflickr.com/65535/52236593349_bb955e74cf_w.jpg
52263198584,Eiffel Tower,,48.873969,2.295286,97,"'paris', 'france', 'iphone', 'iPhone 12', 'eiffel tower'","iphone, iphone12, eiffeltower",https://live.staticflickr.com/65535/52263198584_c35e07ddd1_w.jpg
52337420402,"Tombeau de Napoleon 1er, Paris, France.",Napoleon Bonaparte,48.85405,2.312449,96,"'Paris', 'France', 'Europe', 'Nikon', 'D500', 'Napoleon', 'tomb'","napoleon, tomb",https://live.staticflickr.com/65535/52337420402_12b69e8d59_w.jpg
